"","id","baseMeanA","baseMeanB","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ZN1","ZN2","ZN3","ZP1","ZP2","ZP3","gene_name"
"133","ENSG00000198855",315.007969920203,1078.09979030571,696.553880112955,1.63281308643024,0.167941750864096,9.72249650863512,2.41779576564996e-22,3.81991413361218e-20,349,469,294,1044,912,848,"FICD"
"134","ENSG00000011028",1500.32299603434,3924.72938395987,2712.5261899971,1.31856094770793,0.135663204039832,9.71937053263747,2.49317946464088e-22,3.9061889262261e-20,2117,1672,1432,2811,3809,3784,"MRC2"
"135","ENSG00000075426",1383.5155049979,3737.97587619038,2560.74569059414,1.35846989376526,0.139950616118505,9.70678037326367,2.82107505874383e-22,4.38339108921015e-20,1422,1695,1668,2488,3585,3855,"FOSL2"
"136","ENSG00000138764",1966.37811084734,4757.34079266704,3361.85945175719,1.22098457304813,0.126067252950284,9.68518425264363,3.48579425770047e-22,5.37183752778906e-20,2157,2308,2329,3286,4727,4629,"CCNG2"
"137","ENSG00000125089",642.227528143931,1556.11195652685,1099.16974233539,1.22261758075295,0.126340663018917,9.67715026610147,3.77080052224733e-22,5.76380655437171e-20,719,802,711,1292,1512,1298,"SH3TC1"
"138","ENSG00000090520",4824.06163460578,11209.7546480889,8016.90814134733,1.16889118536584,0.121289176434219,9.63722584100315,5.56721497691199e-22,8.37353670247379e-20,6166,5169,5325,8734,11911,9118,"DNAJB11"
"139","ENSG00000277437",251.321190432933,919.83169303541,585.576441734171,1.7065342676469,0.177873096810162,9.59411118516833,8.4643467146712e-22,1.25267075624943e-19,257,282,324,841,860,709,"FP671120"
"140","ENSG00000068079",1163.56320307858,2763.88438804141,1963.72379555999,1.19553507057834,0.124625474698224,9.59302320390989,8.5541070652715e-22,1.25267075624943e-19,1288,1731,1088,1968,2651,2705,"IFI35"
"141","ENSG00000115267",74.1806515436228,1528.11422349995,801.147437521788,2.81964645977534,0.293941855807164,9.5925313257365,8.59499641275337e-22,1.25267075624943e-19,84,63,104,1711,1248,979,"IFIH1"
"142","ENSG00000113916",53.9269806726575,300.840503249857,177.383741961257,2.10708403419833,0.221234425073914,9.52421411583824,1.6629536872529e-21,2.4050147903109e-19,53,78,58,263,268,257,"BCL6"
"143","ENSG00000133794",430.976310489019,1133.57291539099,782.274612940006,1.3212872288649,0.139228163731152,9.49008586665189,2.30844034291931e-21,3.31305243413939e-19,526,546,433,983,1067,928,"ARNTL"
"144","ENSG00000182179",120.210415300581,631.071914483199,375.64116489189,2.05213734945674,0.21642910257697,9.48179946699601,2.49935215501414e-21,3.55607798783239e-19,201,146,78,559,562,531,"UBA7"
"145","ENSG00000220875",8.18586822784187,228.626873864951,118.406371046396,2.84016752447897,0.299560234420167,9.48112332057839,2.51560221467852e-21,3.55607798783239e-19,7,18,5,317,156,104,"H3C9P"
"146","ENSG00000061656",234.929364062088,890.945183063553,562.93727356282,1.73983661424385,0.183548610231726,9.47888742958796,2.57008599007339e-21,3.60598408204252e-19,323,264,230,533,875,969,"SPAG4"
"147","ENSG00000120053",3446.10545370767,7319.20588093281,5382.65566732024,1.05093248996652,0.111159231440518,9.45429791432908,3.25196949460668e-21,4.52890951615557e-19,4095,4407,3528,6490,6982,5750,"GOT1"
"148","ENSG00000175105",1594.254194266,3398.61198747351,2496.43309086975,1.05590875261709,0.11184666809781,9.44068134147457,3.70363181433103e-21,5.11999865744395e-19,1830,1977,1736,2772,3107,3060,"ZNF654"
"149","ENSG00000005884",1426.45694035545,4332.69464612816,2879.5757932418,1.49014094418309,0.159763358124745,9.32717590362346,1.08729318682957e-20,1.47066181335128e-18,1590,1847,1535,2313,4439,4869,"ITGA3"
"150","ENSG00000163565",21.7534937846323,192.431177506078,107.092335645355,2.41306769887245,0.259884589768195,9.28515115507539,1.61477810403733e-20,2.16853165242899e-18,26,28,22,137,163,207,"IFI16"
"151","ENSG00000164236",619.64498123909,1982.06813989409,1300.85656056659,1.54664508066509,0.167213855246761,9.24950314902236,2.25538604551721e-20,2.98616289026543e-18,800,707,644,2009,1807,1345,"ANKRD33B"
"152","ENSG00000171368",342.0125706373,909.90281404946,625.95769234338,1.33157712620049,0.145774288975154,9.13451292105052,6.57018655861078e-20,8.50136639890474e-18,369,436,384,645,950,827,"TPPP"
"153","ENSG00000064300",1189.02030347589,2766.25330990779,1977.63680669184,1.16508739034754,0.127560214096914,9.13362680202434,6.62420865147803e-20,8.50136639890474e-18,1232,1724,1220,1824,2960,2607,"NGFR"
"154","ENSG00000173540",999.484487896953,2122.14301204272,1560.81374996984,1.0476777878743,0.114712813851298,9.13304933163271,6.659650079646e-20,8.50136639890474e-18,1146,1411,958,1670,2223,1735,"GMPPB"
"155","ENSG00000007384",432.989139858875,1197.7467360009,815.367937929887,1.37643489066995,0.150717946959289,9.13252149753438,6.69220906886816e-20,8.50136639890474e-18,598,546,376,840,1292,1063,"RHBDF1"
"156","ENSG00000088826",2289.23914852,5746.1044972926,4017.6718229063,1.25856007641904,0.138315149397654,9.09922074262957,9.09822569866391e-20,1.14802510980255e-17,2853,3078,2112,5449,5635,3981,"SMOX"
"157","ENSG00000101210",829.326430959885,2276.82689330626,1553.07666213307,1.367044746367,0.150814313098325,9.06442311928136,1.25265335250899e-19,1.55967785963719e-17,879,1035,962,1451,2127,2470,"EEF1A2"
