"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP14",0.330045673410234,1.8417444960689,4.03766275886287,0.456141239638248,0.648288416519938,NA
"MMP15",15.1354789428573,1.67434322269669,0.747210648021912,2.24079143830347,0.025039587799525,0.708613809228086
"MMP16",19.6407366086654,-2.22411410336305,0.917419114385675,-2.42431628956452,0.0153372410732788,0.567404182975385
"MMP17",25.9779007298236,1.57909842936436,1.77485627019437,0.889704961400298,NA,NA
"MMP19",1.15451653222369,3.64842348499286,2.54877302223857,1.43144307208198,0.152303271446306,NA
"MMP2",130.174900219188,1.98453640246358,0.271501209133943,7.30949379118425,2.68150643786763e-13,1.03170960196957e-09
"MMP24",0.329675449913071,1.84033642203645,4.03778851011797,0.455778309692273,0.648549403054506,NA
"MMP28",0.494522307685418,2.42529308336682,3.99458979810233,0.607144464375037,0.543755044045381,NA
"MMP7",0,NA,NA,NA,NA,NA
"MMP8",0,NA,NA,NA,NA,NA
"MMP9",0.16474973549015,0.944884075392948,4.0804728567969,0.231562396945991,0.816877916572543,NA
"MMRN1",0,NA,NA,NA,NA,NA
